# timestamp tx ty tz qx qy qz qw
0.0000 0.0000 0.0000 1.8000 0.0000 0.0000 0.4848 0.8746
0.0334 0.0653 0.1045 1.8056 -0.0031 -0.0011 0.4847 0.8747
0.0668 0.1306 0.2088 1.8112 -0.0062 -0.0023 0.4844 0.8748
0.1002 0.1958 0.3128 1.8168 -0.0093 -0.0034 0.4838 0.8751
0.1336 0.2610 0.4164 1.8224 -0.0124 -0.0045 0.4831 0.8755
0.1670 0.3260 0.5194 1.8279 -0.0154 -0.0056 0.4821 0.8759
0.2004 0.3910 0.6217 1.8335 -0.0185 -0.0067 0.4810 0.8765
0.2339 0.4558 0.7231 1.8391 -0.0215 -0.0077 0.4796 0.8772
0.2673 0.5205 0.8235 1.8446 -0.0245 -0.0087 0.4779 0.8780
0.3007 0.5850 0.9228 1.8501 -0.0275 -0.0097 0.4761 0.8789
0.3341 0.6493 1.0208 1.8557 -0.0304 -0.0106 0.4739 0.8800
0.3675 0.7133 1.1173 1.8611 -0.0333 -0.0115 0.4715 0.8811
0.4009 0.7771 1.2124 1.8666 -0.0362 -0.0124 0.4689 0.8824
0.4343 0.8407 1.3057 1.8721 -0.0391 -0.0132 0.4659 0.8839
0.4677 0.9039 1.3972 1.8775 -0.0419 -0.0139 0.4626 0.8855
0.5011 0.9668 1.4867 1.8829 -0.0446 -0.0146 0.4590 0.8872
0.5345 1.0294 1.5742 1.8882 -0.0474 -0.0152 0.4550 0.8891
0.5679 1.0916 1.6595 1.8936 -0.0500 -0.0157 0.4506 0.8912
0.6013 1.1535 1.7425 1.8989 -0.0526 -0.0162 0.4459 0.8934
0.6347 1.2150 1.8230 1.9041 -0.0552 -0.0166 0.4407 0.8958
0.6682 1.2760 1.9011 1.9094 -0.0577 -0.0168 0.4349 0.8984
0.7016 1.3366 1.9764 1.9146 -0.0601 -0.0170 0.4287 0.9013
0.7350 1.3967 2.0491 1.9197 -0.0625 -0.0171 0.4219 0.9043
0.7684 1.4563 2.1188 1.9248 -0.0648 -0.0171 0.4144 0.9076
0.8018 1.5154 2.1856 1.9299 -0.0670 -0.0169 0.4063 0.9111
0.8352 1.5740 2.2494 1.9349 -0.0692 -0.0166 0.3973 0.9149
0.8686 1.6321 2.3100 1.9399 -0.0713 -0.0162 0.3875 0.9190
0.9020 1.6896 2.3675 1.9448 -0.0733 -0.0156 0.3768 0.9233
0.9354 1.7465 2.4216 1.9497 -0.0752 -0.0149 0.3650 0.9279
0.9688 1.8027 2.4724 1.9545 -0.0770 -0.0140 0.3520 0.9327
1.0022 1.8584 2.5197 1.9593 -0.0788 -0.0129 0.3377 0.9379
1.0356 1.9134 2.5635 1.9640 -0.0804 -0.0116 0.3219 0.9433
1.0690 1.9678 2.6037 1.9687 -0.0819 -0.0101 0.3045 0.9489
1.1024 2.0214 2.6403 1.9733 -0.0833 -0.0084 0.2853 0.9548
1.1359 2.0744 2.6733 1.9778 -0.0846 -0.0064 0.2640 0.9608
1.1693 2.1266 2.7025 1.9823 -0.0857 -0.0042 0.2406 0.9668
1.2027 2.1781 2.7279 1.9867 -0.0866 -0.0017 0.2148 0.9728
1.2361 2.2288 2.7496 1.9910 -0.0874 0.0011 0.1865 0.9786
1.2695 2.2788 2.7674 1.9953 -0.0879 0.0042 0.1555 0.9839
1.3029 2.3280 2.7814 1.9995 -0.0882 0.0075 0.1218 0.9886
1.3363 2.3763 2.7915 2.0037 -0.0882 0.0111 0.0854 0.9924
1.3697 2.4239 2.7977 2.0078 -0.0879 0.0149 0.0466 0.9949
1.4031 2.4705 2.8000 2.0118 -0.0873 0.0188 0.0056 0.9960
1.4365 2.5164 2.7984 2.0157 -0.0863 0.0229 -0.0370 0.9953
1.4699 2.5613 2.7929 2.0195 -0.0851 0.0270 -0.0805 0.9928
1.5033 2.6054 2.7835 2.0233 -0.0834 0.0310 -0.1243 0.9882
1.5367 2.6485 2.7703 2.0270 -0.0815 0.0349 -0.1675 0.9819
1.5702 2.6908 2.7532 2.0306 -0.0794 0.0386 -0.2095 0.9738
1.6036 2.7320 2.7323 2.0342 -0.0770 0.0420 -0.2496 0.9644
1.6370 2.7724 2.7075 2.0376 -0.0745 0.0451 -0.2874 0.9538
1.6704 2.8118 2.6790 2.0410 -0.0718 0.0478 -0.3226 0.9426
1.7038 2.8502 2.6468 2.0443 -0.0690 0.0502 -0.3551 0.9309
1.7372 2.8876 2.6109 2.0475 -0.0663 0.0522 -0.3849 0.9191
1.7706 2.9240 2.5713 2.0506 -0.0634 0.0539 -0.4120 0.9074
1.8040 2.9593 2.5282 2.0537 -0.0606 0.0553 -0.4366 0.8959
1.8374 2.9937 2.4815 2.0566 -0.0578 0.0564 -0.4590 0.8848
1.8708 3.0270 2.4314 2.0595 -0.0550 0.0572 -0.4793 0.8741
1.9042 3.0593 2.3779 2.0622 -0.0522 0.0577 -0.4977 0.8639
1.9376 3.0904 2.3211 2.0649 -0.0494 0.0580 -0.5144 0.8541
1.9710 3.1206 2.2610 2.0675 -0.0467 0.0581 -0.5297 0.8449
2.0045 3.1496 2.1978 2.0700 -0.0440 0.0579 -0.5436 0.8362
2.0379 3.1775 2.1316 2.0724 -0.0412 0.0576 -0.5564 0.8279
2.0713 3.2043 2.0624 2.0747 -0.0385 0.0572 -0.5681 0.8201
2.1047 3.2301 1.9903 2.0769 -0.0358 0.0565 -0.5789 0.8126
2.1381 3.2546 1.9154 2.0790 -0.0332 0.0557 -0.5889 0.8056
2.1715 3.2781 1.8379 2.0810 -0.0305 0.0548 -0.5982 0.7989
2.2049 3.3004 1.7578 2.0829 -0.0278 0.0537 -0.6068 0.7926
2.2383 3.3216 1.6752 2.0847 -0.0251 0.0526 -0.6148 0.7865
2.2717 3.3416 1.5904 2.0864 -0.0225 0.0513 -0.6224 0.7807
2.3051 3.3604 1.5033 2.0880 -0.0198 0.0499 -0.6295 0.7752
2.3385 3.3781 1.4141 2.0896 -0.0172 0.0484 -0.6362 0.7698
2.3719 3.3946 1.3230 2.0910 -0.0145 0.0468 -0.6425 0.7647
2.4053 3.4099 1.2300 2.0923 -0.0119 0.0451 -0.6485 0.7598
2.4388 3.4240 1.1353 2.0935 -0.0092 0.0434 -0.6543 0.7550
2.4722 3.4370 1.0390 2.0946 -0.0066 0.0415 -0.6598 0.7503
2.5056 3.4487 0.9413 2.0956 -0.0040 0.0396 -0.6650 0.7458
2.5390 3.4592 0.8422 2.0965 -0.0014 0.0376 -0.6701 0.7413
2.5724 3.4686 0.7420 2.0973 0.0012 0.0356 -0.6750 0.7370
2.6058 3.4767 0.6408 2.0980 0.0038 0.0335 -0.6797 0.7327
2.6392 3.4836 0.5386 2.0986 0.0064 0.0313 -0.6844 0.7284
2.6726 3.4893 0.4358 2.0991 0.0089 0.0291 -0.6889 0.7243
2.7060 3.4938 0.3323 2.0995 0.0114 0.0268 -0.6933 0.7201
2.7394 3.4971 0.2283 2.0998 0.0139 0.0245 -0.6976 0.7159
2.7728 3.4991 0.1240 2.0999 0.0164 0.0221 -0.7018 0.7118
2.8062 3.5000 0.0196 2.1000 0.0188 0.0197 -0.7061 0.7076
2.8396 3.4996 -0.0849 2.1000 0.0212 0.0173 -0.7102 0.7034
2.8731 3.4980 -0.1892 2.0998 0.0236 0.0149 -0.7144 0.6992
2.9065 3.4952 -0.2933 2.0996 0.0259 0.0124 -0.7185 0.6949
2.9399 3.4911 -0.3970 2.0992 0.0282 0.0099 -0.7227 0.6905
2.9733 3.4859 -0.5001 2.0988 0.0305 0.0073 -0.7269 0.6861
3.0067 3.4794 -0.6026 2.0982 0.0327 0.0048 -0.7311 0.6815
3.0401 3.4718 -0.7042 2.0976 0.0348 0.0022 -0.7353 0.6768
3.0735 3.4629 -0.8048 2.0968 0.0369 -0.0004 -0.7397 0.6720
3.1069 3.4528 -0.9043 2.0960 0.0389 -0.0030 -0.7441 0.6670
3.1403 3.4415 -1.0025 2.0950 0.0408 -0.0056 -0.7486 0.6618
3.1737 3.4290 -1.0994 2.0939 0.0427 -0.0082 -0.7532 0.6564
3.2071 3.4153 -1.1947 2.0927 0.0445 -0.0109 -0.7579 0.6507
3.2405 3.4005 -1.2883 2.0915 0.0462 -0.0135 -0.7628 0.6448
3.2739 3.3844 -1.3802 2.0901 0.0478 -0.0162 -0.7679 0.6386
3.3073 3.3672 -1.4701 2.0886 0.0493 -0.0188 -0.7731 0.6320
3.3408 3.3488 -1.5580 2.0870 0.0508 -0.0215 -0.7786 0.6251
